MPI,,,,Original,,
Time elapsed was 259091548773ns or 259.091548773s,,259.0915488,,Time elapsed was 507802948195ns or 507.802948195s,,507.8029482
Time elapsed was 259092501543ns or 259.092501543s,,259.0925015,,Time elapsed was 505052444583ns or 505.052444583s,,505.0524446
Time elapsed was 259091852710ns or 259.091852710s,,259.0918527,,Time elapsed was 504622884994ns or 504.622884994s,,504.622885
Time elapsed was 263776893426ns or 263.776893426s,,263.7768934,,Time elapsed was 506388747732ns or 506.388747732s,,506.3887477
Time elapsed was 263776717034ns or 263.776717034s,,263.776717,,Time elapsed was 505371101795ns or 505.371101795s,,505.3711018
Time elapsed was 263776937777ns or 263.776937777s,,263.7769378,,Time elapsed was 505581159785ns or 505.581159785s,,505.5811598
Time elapsed was 255867539403ns or 255.867539403s,,255.8675394,,Time elapsed was 505041476861ns or 505.041476861s,,505.0414769
Time elapsed was 255866834239ns or 255.866834239s,,255.8668342,,Time elapsed was 506176352526ns or 506.176352526s,,506.1763525
Time elapsed was 255867984331ns or 255.867984331s,,255.8679843,,Time elapsed was 505082524216ns or 505.082524216s,,505.0825242
Time elapsed was 255948649228ns or 255.948649228s,,255.9486492,,Time elapsed was 504023639823ns or 504.023639823s,,504.0236398
Time elapsed was 255949201332ns or 255.949201332s,,255.9492013,,,,
Time elapsed was 255949200667ns or 255.949200667s,,255.9492007,,Average second,,505.5143281
Time elapsed was 256959251834ns or 256.959251834s,,256.9592518,,,,
Time elapsed was 256959725099ns or 256.959725099s,,256.9597251,,,,
Time elapsed was 256960060030ns or 256.960060030s,,256.96006,,,,
Time elapsed was 261884459795ns or 261.884459795s,,261.8844598,,,,
Time elapsed was 261884840629ns or 261.884840629s,,261.8848406,,,,
Time elapsed was 261884668632ns or 261.884668632s,,261.8846686,,,,
Time elapsed was 255615467488ns or 255.615467488s,,255.6154675,,,,
Time elapsed was 255616273001ns or 255.616273001s,,255.616273,,,,
Time elapsed was 255616035727ns or 255.616035727s,,255.6160357,,,,
Time elapsed was 257400624501ns or 257.400624501s,,257.4006245,,,,
Time elapsed was 257401723384ns or 257.401723384s,,257.4017234,,,,
Time elapsed was 257401246806ns or 257.401246806s,,257.4012468,,,,
Time elapsed was 256491771031ns or 256.491771031s,,256.491771,,,,
Time elapsed was 256491749404ns or 256.491749404s,,256.4917494,,,,
Time elapsed was 256492556780ns or 256.492556780s,,256.4925568,,,,
Time elapsed was 257263591639ns or 257.263591639s,,257.2635916,,,,
Time elapsed was 257263593267ns or 257.263593267s,,257.2635933,,,,
Time elapsed was 257264075102ns or 257.264075102s,,257.2640751,,,,
,,,,,,
Average,,258.0302525,,,,
