Time elapsed was 624536ns or 0.000624536s,,624536
Time elapsed was 435946ns or 0.000435946s,,435946
Time elapsed was 235721ns or 0.000235721s,,235721
Time elapsed was 2189102ns or 0.002189102s,,2189102
Time elapsed was 234090ns or 0.000234090s,,234090
Time elapsed was 574110ns or 0.000574110s,,574110
Time elapsed was 485429ns or 0.000485429s,,485429
Time elapsed was 531205ns or 0.000531205s,,531205
Time elapsed was 550085ns or 0.000550085s,,550085
Time elapsed was 234683ns or 0.000234683s,,234683
,,
,,609490.7
