Thread,,
Time elapsed was 277667468ns or 0.277667468s,,0.277667468
Time elapsed was 280506995ns or 0.280506995s,,0.280506995
Time elapsed was 282135368ns or 0.282135368s,,0.282135368
Time elapsed was 294031224ns or 0.294031224s,,0.294031224
Time elapsed was 287057013ns or 0.287057013s,,0.287057013
Time elapsed was 292579148ns or 0.292579148s,,0.292579148
Time elapsed was 282226108ns or 0.282226108s,,0.282226108
Time elapsed was 280796376ns or 0.280796376s,,0.280796376
Time elapsed was 280306778ns or 0.280796376s,,0.280796376
Time elapsed was 284913205ns or 0.284913205s,,0.284913205
,,
Average,,0.284270928
